,Unnamed: 0,Location,Latitude,Longitude
95,95," New BEL Road, Bangalore",13.0397951,77.5637607
96,96," Near Basaveshwara Nagar, Bangalore",12.991912,77.5386905
97,97," Nagarbhavi, Bangalore",12.9841958,77.51919296908994
98,98,"Brigade Road, Bangalore",12.9736132,77.6074716
99,99," Basaveshwara Nagar, Bangalore",12.9933829,77.5389467
100,100," Peenya, Bangalore",13.0329419,77.5273253
101,101," Frazer town, Bengaluru",12.996845,77.6130165
102,102," Hebbal, Bangalore",13.0382184,77.5919
103,103," Sahakara Nagar, Bangalore",13.0621474,77.58006135480495
104,104," Sankey Road, Bangalore",12.9976332,77.5844364
105,105," Rajajinagar, Bangalore.",12.9882338,77.554883
106,106," Sanjay Nagar, Bangalore",12.9578658,77.6958748
107,107," Hebbal, Bangalore.",13.0382184,77.5919
108,108," Jalahalli, Bangalore",13.0464531,77.5483803
109,109," Magadi Road, Bangalore",12.975608,77.5553564
110,110," Bengaluru, Karnataka",12.9767936,77.590082
111,111," Hebbala, Bangalore",13.0413885,77.5890568
112,112," New Bel Road, Bangalore",13.0397951,77.5637607
113,113," Shivaji Nagar Commercial Street, Bangalore",12.9841869,77.6032173
114,114," Bangalore, Bengaluru",12.9767936,77.590082
115,115," Rajajinagar, Bengaluru",12.9882338,77.554883
116,116," Hennur, Bangalore",13.0258087,77.6305067
117,117," Kalyan Nagar, Bengaluru",13.0221416,77.6403368
118,118," Jakkur, Bangalore",13.0784743,77.6068938
119,119," HRBR Layout Kalyan Nagar, Bangalore",13.0210831,77.6431757
120,120," Karnataka, Bengaluru",12.9767936,77.590082
121,121," Kammanahalli, Bangalore~",13.0093455,77.6377094
122,122," 3rd Block Kammanahalli, Bangalore",13.0093455,77.6377094
123,123," Kammanahalli Kammanahalli, Bangalore",13.0178488,77.6364588
124,124," Akshaya Nagar, Bangalore",13.0195427,77.6831272
125,125," Bommasandra, Bengaluru",12.8162443,77.6916113
126,126," Phase-2 Electronic City, Bangalore",12.8371576,77.6725236
127,127," Konappana Agrahara Electronic City, Bangalore",12.8528618,77.668169
128,128," Electronic City Phase 1, Bangalore",12.8496783,77.6649749
129,129," Bannerghatta Road, Bangalore.",12.8799708,77.5957843
130,130," Bangalore Urban, Karnataka",12.94514225,77.55364499971128
131,131," Bangalore, Karnataka",12.9767936,77.590082
132,132," Hesaraghatta, Bangalore",13.1393984,77.4783628
133,133," 80 Feet Road, Bangalore",12.9817739,77.6459679
134,134," Mysore Road, Bangalore",12.9467026,77.5300705
135,135," Near Rajarajeshwari Nagar, Bangalore",13.0143523,77.55428150069042
136,136," Rajajinagar,Bangalore",12.9882338,77.554883
137,137," Nagarabhavi, Bangalore",12.9664182,77.5130777
138,138," Vyalikaval Malleshwaram, Bangalore",13.0046822,77.5785581
139,139," Mahadevapura Marathahalli, Bangalore",12.9462698,77.6801303
140,140," Main road Whitefield, Bangalore",12.9568545,77.7455109
141,141," Frazer Town, Bangalore.",12.996845,77.6130165
