,Location,Latitude,Longitude
0," Indiranagar, Bangalore",12.9732913,77.6404672
1," Ulsoor, Bangalore",12.9778793,77.6246697
2," Jeevan Bhima Nagar, Bangalore",12.9678074,77.6568367
3," Thippasandra, Bangalore",12.973936,77.6509982
4," Brigade Road, Bangalore",12.9736132,77.6074716
5," Old Madras Road, Bangalore",13.0180639,77.7061087
6," Frazer Town, Bangalore",12.996845,77.6130165
7," KR Puram, Bangalore",13.007516,77.695935
8," Marathahalli, Bangalore",12.9552572,77.6984163
9," Shanti Nagar, Bangalore",12.9575547,77.5979099
10," Richmond Road, Bangalore",12.965297,77.600367
11," CV Raman Nagar, Bangalore",12.9856596,77.6638971
12," Near HSR, Bangalore",12.9139248,77.6402199
13," Old Airport Road, Bangalore",12.9572222,77.6743253
14," Domlur, Bangalore",12.9624669,77.6381958
15," HSR, Bangalore",12.9116225,77.6388622
16," Kalyan Nagar, Bangalore",13.0221416,77.6403368
17," Kammanahalli, Bangalore",13.0093455,77.6377094
18," Shivajinagar, Bangalore",12.986391,77.6075416
19," Koramangala 1st Block, Bangalore",12.9277245,77.6327822
20," Brookefield, Bangalore",12.9668213,77.7168891
21," Koramangala 6th Block, Bangalore",12.9390255,77.6238477
22," Hal 2nd Stage Indiranagar, Bangalore",12.9699181,77.6413837
23," Whitefield, Bangalore",12.9696365,77.7497448
24," MG Road, Bangalore",12.9755264,77.6067902
25," Koramangala 3rd Block, Bangalore",12.9282918,77.6254034
26," Majestic, Bangalore",12.9757079,77.5728757
27," Kaggadasapura, Bangalore",12.9846713,77.6790908
28," Church Street, Bangalore",12.9755105,77.6026774
29," Ejipura, Bangalore",12.945245,77.6269144
30,"  Domlur, Bangalore",12.9624669,77.6381958
31," Infantry Road, Bangalore",12.9830857,77.5961802
32," Residency Road, Bangalore",12.9738781,77.6109674
33," Banaswadi, Bangalore",13.0141618,77.6518539
34," Koramangala 5th Block, Bangalore",12.9348429,77.6189768
35," New Thippasandra, Bangalore",12.9736956,77.6536931
36," Koramangala 7th Block, Bangalore",12.9364846,77.6134783
37," Commercial Street, Bangalore",12.9822323,77.6082954
38," BTM, Bangalore",12.911275849999999,77.60456543431182
39," Cunningham Road, Bangalore",12.9845781,77.5970428
40," Koramangala 4th Block, Bangalore",12.9327778,77.6294052
41," Race Course Road, Bangalore",12.983903,77.5782508
42," Lavelle Road, Bangalore",12.9749487,77.5997248
43," Ashok Nagar, Bangalore",12.9694359,77.6092319
44," Vasanth Nagar, Bangalore",12.988721250000001,77.58516877601824
45," Koramangala 8th Block, Bangalore",12.9408685,77.617338
46," Indira Nagar, Bangalore",12.9732913,77.6404672
47," RT Nagar, Bangalore",13.0227204,77.595715
48," HBR Layout, Bangalore",13.0358698,77.6323597
49," Richmond Town, Bangalore",12.9626925,77.6041603
50," Yeshwantpur, Bangalore",13.02383,77.5529215
51," Bellandur, Bangalore",12.93103185,77.6782471
52," Kadubeesanahalli, Bangalore",12.942199,77.6972484
53," bangalore, mahadevpura",12.99678075,77.692813
54," Sarjapur Road, Bangalore",12.920441,77.6653284
55," Marathahalli, Bengaluru",12.9552572,77.6984163
56," Bellandur, Bangalore.",12.93103185,77.6782471
57," Varthur Main Road, Whitefield",12.9413238,77.7471103
58," Bommanahalli, Bangalore",12.9089453,77.6239038
59," Yelahanka, Bangalore",13.1006982,77.5963454
60," Hosur Road, Bangalore",12.9212213,77.6201362
61," Kadugodi, Bangalore",12.9985767,77.7609716
62," Whitefield, Bangalore.",12.9696365,77.7497448
63," Main Road, Whitefield",12.9705356,77.7499623
64," Whitefield, Bengaluru",12.9696365,77.7497448
65," Sri Rama PG, Bangalore",12.9587993,77.7216549
66," Karnataka, Bangalore",12.9767936,77.590082
67," AECS Layout, Bangalore Mahadevapura",12.964118,77.7130369
68," Brookfield, Bangalore",12.965899,77.7179157
69," Hoodi Whitefield, Bangalore",12.98716705,77.72306072806555
70," Marathahalli, Karnataka",12.9552572,77.6984163
71," Mahadevapura, Karnataka",12.9934976,77.6924156
72," Jayanagar, Bangalore",12.9292731,77.5824229
73," Bannerghatta Road, Bangalore",12.8799708,77.5957843
74," JP Nagar, Bangalore",12.8803576,77.5796579
75," Basavanagudi, Bangalore",12.9417261,77.5755021
76," 6th Block, Bangalore",13.00783435,77.54718817933144
77," Langford Town, Bangalore",12.957998,77.6037312
78," Tavarekere BTM, Bangalore",12.9199038,77.6087264
79," Wilson Garden, Bangalore",12.9489339,77.5968273
80," Koramangala 2nd Block, Bangalore",12.9243692,77.6242433
81," City Market, Bangalore",12.965717999999999,77.5762705372058
82," Near MG Road, Bangalore",12.9759067,77.602415
83," HSR, Bangalore.",12.9116225,77.6388622
84," BTM, Bengaluru",12.911275849999999,77.60456543431182
85," Electronic City, Bangalore",12.848759900000001,77.64825295827616
86," Near Sarjapur Road, Bangalore",12.9252152,77.6338719
87," Banashankari, Bangalore",12.9152208,77.573598
88," Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
89," 4th Block Jayanagar, Bangalore",12.9256349,77.58335377716196
90," Kanakapura Road, Bangalore",12.8799448,77.545857
91," Phase 7th JP Nagar, Bangalore",12.9163386,77.578242
92," Seshadripuram, Bangalore",12.9931876,77.5753419
93," Uttarahalli, Bangalore",12.9055682,77.5455438
94," Vijay Nagar, Bangalore",12.965913650000001,77.61269701826657
95," 7th Phase JP Nagar, Bangalore",12.9113128,77.5956471
96," Malleshwaram, Bangalore",13.0027353,77.5703253
97," Rajajinagar, Bangalore",12.9882338,77.554883
98," Adugodi, Bengaluru Karnataka",12.9428472,77.6104155
99," Near Koramangala 7th Block, Bangalore",12.9252152,77.6338719
100," Puttenahalli JP Nagar, Bangalore",12.8970133,77.5860475
101," Padmanabhanagar Kumaraswamy Layout, Bangalore",12.91814255,77.55767110316643
102," 7th Cross Koramangala 2nd Block, Bangalore",12.9241087,77.618833
103," Rajarajeshwari Nagar, Bangalore",12.9274413,77.5155224
104," Mahadevapura Sarjapur Road, Bangalore",12.91916145,77.66504602801723
105," Bommasandra, Bangalore",12.8162443,77.6916113
106," Sarjapura Road, Bangalore",12.929747,77.615241
107," Nagawara, Bangalore",13.0431413,77.6209093
108," New BEL Road, Bangalore",13.0397951,77.5637607
109," Near Basaveshwara Nagar, Bangalore",12.991912,77.5386905
110," Nagarbhavi, Bangalore",12.9841958,77.51919296908994
111,"Brigade Road, Bangalore",12.9736132,77.6074716
112," Basaveshwara Nagar, Bangalore",12.9933829,77.5389467
113," Peenya, Bangalore",13.0329419,77.5273253
114," Frazer town, Bengaluru",12.996845,77.6130165
115," Hebbal, Bangalore",13.0382184,77.5919
116," Sahakara Nagar, Bangalore",13.0621474,77.58006135480495
117," Sankey Road, Bangalore",12.9976332,77.5844364
118," Rajajinagar, Bangalore.",12.9882338,77.554883
119," Sanjay Nagar, Bangalore",12.9578658,77.6958748
120," Hebbal, Bangalore.",13.0382184,77.5919
121," Jalahalli, Bangalore",13.0464531,77.5483803
122," Magadi Road, Bangalore",12.975608,77.5553564
123," Bengaluru, Karnataka",12.9767936,77.590082
124," Hebbala, Bangalore",13.0413885,77.5890568
125," New Bel Road, Bangalore",13.0397951,77.5637607
126," Shivaji Nagar Commercial Street, Bangalore",12.9841869,77.6032173
127," Bangalore, Bengaluru",12.9767936,77.590082
128," Yeshwanthpura, Bengaluru",13.02560935,77.55410684919815
129," Rajajinagar, Bengaluru",12.9882338,77.554883
130," Hennur, Bangalore",13.0258087,77.6305067
131," Kalyan Nagar, Bengaluru",13.0221416,77.6403368
132," Jakkur, Bangalore",13.0784743,77.6068938
133," HRBR Layout Kalyan Nagar, Bangalore",13.0210831,77.6431757
134," Karnataka, Bengaluru",12.9767936,77.590082
135," Kammanahalli, Bangalore~",13.0093455,77.6377094
136," 3rd Block Kammanahalli, Bangalore",13.0093455,77.6377094
137," Kammanahalli Kammanahalli, Bangalore",13.0178488,77.6364588
138," Akshaya Nagar, Bangalore",13.0195427,77.6831272
139," Bommasandra, Bengaluru",12.8162443,77.6916113
140," Phase-2 Electronic City, Bangalore",12.8371576,77.6725236
141," Konappana Agrahara Electronic City, Bangalore",12.8528618,77.668169
142," Doddathoguru Electronic City, Bangalore",12.8529125,77.6556155
143," Electronic City Phase 1, Bangalore",12.8496783,77.6649749
144,"  Electronic City, Bangalore",12.848759900000001,77.64825295827616
145," Bannerghatta Road, Bangalore.",12.8799708,77.5957843
146," Bangalore Urban, Karnataka",12.94514225,77.55364499971128
147," Bangalore, Karnataka",12.9767936,77.590082
148," Hesaraghatta, Bangalore",13.1393984,77.4783628
149," 80 Feet Road, Bangalore",12.9817739,77.6459679
150," Mysore Road, Bangalore",12.9467026,77.5300705
151," Near Rajarajeshwari Nagar, Bangalore",13.014352299999999,77.55428150069042
152," Rajajinagar,Bangalore",12.9882338,77.554883
153," Nagarabhavi, Bangalore",12.9664182,77.5130777
154," Vyalikaval Malleshwaram, Bangalore",13.0046822,77.5785581
155," Mahadevapura Marathahalli, Bangalore",12.9462698,77.6801303
156," Main road Whitefield, Bangalore",12.9568545,77.7455109
157," Frazer Town, Bangalore.",12.996845,77.6130165
