,Location,Latitude,Longitude
60," Karnataka, Bangalore",12.9767936,77.590082
61," AECS Layout, Bangalore Mahadevapura",12.964118,77.7130369
62," Brookfield, Bangalore",12.965899,77.7179157
63," Hoodi Whitefield, Bangalore",12.98716705,77.72306072806555
64," Marathahalli, Karnataka",12.9552572,77.6984163
65," Bannerghatta Road, Bangalore",12.8799708,77.5957843
66," JP Nagar, Bangalore",12.8803576,77.5796579
67," Tavarekere BTM, Bangalore",12.9199038,77.6087264
68," Wilson Garden, Bangalore",12.9489339,77.5968273
69," Koramangala 2nd Block, Bangalore",12.9243692,77.6242433
70," Near MG Road, Bangalore",12.9759067,77.602415
71," HSR, Bangalore.",12.9116225,77.6388622
72," BTM, Bengaluru",12.911275849999999,77.60456543431182
73," Electronic City, Bangalore",12.848759900000001,77.64825295827616
74," Near Sarjapur Road, Bangalore",12.9252152,77.6338719
75," Banashankari, Bangalore",12.9152208,77.573598
76," Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
77," 4th Block Jayanagar, Bangalore",12.9256349,77.58335377716196
78," Kanakapura Road, Bangalore",12.8799448,77.545857
79," Phase 7th JP Nagar, Bangalore",12.9163386,77.578242
80," Seshadripuram, Bangalore",12.9931876,77.5753419
81," Uttarahalli, Bangalore",12.9055682,77.5455438
82," 7th Phase JP Nagar, Bangalore",12.9113128,77.5956471
83," Malleshwaram, Bangalore",13.0027353,77.5703253
84," Rajajinagar, Bangalore",12.9882338,77.554883
85," Adugodi, Bengaluru Karnataka",12.9428472,77.6104155
86," Near Koramangala 7th Block, Bangalore",12.9252152,77.6338719
87," Puttenahalli JP Nagar, Bangalore",12.8970133,77.5860475
88," Padmanabhanagar Kumaraswamy Layout, Bangalore",12.91814255,77.55767110316643
89," 7th Cross Koramangala 2nd Block, Bangalore",12.9241087,77.618833
90," Rajarajeshwari Nagar, Bangalore",12.9274413,77.5155224
91," Mahadevapura Sarjapur Road, Bangalore",12.91916145,77.66504602801723
92," Bommasandra, Bangalore",12.8162443,77.6916113
93," Sarjapura Road, Bangalore",12.929747,77.615241
94," Nagawara, Bangalore",13.0431413,77.6209093
95," New BEL Road, Bangalore",13.0397951,77.5637607
96," Near Basaveshwara Nagar, Bangalore",12.991912,77.5386905
97," Nagarbhavi, Bangalore",12.9841958,77.51919296908994
98,"Brigade Road, Bangalore",12.9736132,77.6074716
99," Basaveshwara Nagar, Bangalore",12.9933829,77.5389467
100," Peenya, Bangalore",13.0329419,77.5273253
101," Frazer town, Bengaluru",12.996845,77.6130165
102," Hebbal, Bangalore",13.0382184,77.5919
103," Sahakara Nagar, Bangalore",13.0621474,77.58006135480495
104," Sankey Road, Bangalore",12.9976332,77.5844364
105," Rajajinagar, Bangalore.",12.9882338,77.554883
106," Sanjay Nagar, Bangalore",12.9578658,77.6958748
107," Hebbal, Bangalore.",13.0382184,77.5919
108," Jalahalli, Bangalore",13.0464531,77.5483803
109," Magadi Road, Bangalore",12.975608,77.5553564
110," Bengaluru, Karnataka",12.9767936,77.590082
111," Hebbala, Bangalore",13.0413885,77.5890568
112," New Bel Road, Bangalore",13.0397951,77.5637607
113," Shivaji Nagar Commercial Street, Bangalore",12.9841869,77.6032173
114," Bangalore, Bengaluru",12.9767936,77.590082
115," Rajajinagar, Bengaluru",12.9882338,77.554883
116," Hennur, Bangalore",13.0258087,77.6305067
117," Kalyan Nagar, Bengaluru",13.0221416,77.6403368
118," Jakkur, Bangalore",13.0784743,77.6068938
119," HRBR Layout Kalyan Nagar, Bangalore",13.0210831,77.6431757
120," Karnataka, Bengaluru",12.9767936,77.590082
121," Kammanahalli, Bangalore~",13.0093455,77.6377094
122," 3rd Block Kammanahalli, Bangalore",13.0093455,77.6377094
123," Kammanahalli Kammanahalli, Bangalore",13.0178488,77.6364588
124," Akshaya Nagar, Bangalore",13.0195427,77.6831272
125," Bommasandra, Bengaluru",12.8162443,77.6916113
126," Phase-2 Electronic City, Bangalore",12.8371576,77.6725236
127," Konappana Agrahara Electronic City, Bangalore",12.8528618,77.668169
128," Electronic City Phase 1, Bangalore",12.8496783,77.6649749
129," Bannerghatta Road, Bangalore.",12.8799708,77.5957843
130," Bangalore Urban, Karnataka",12.94514225,77.55364499971128
131," Bangalore, Karnataka",12.9767936,77.590082
132," Hesaraghatta, Bangalore",13.1393984,77.4783628
133," 80 Feet Road, Bangalore",12.9817739,77.6459679
134," Mysore Road, Bangalore",12.9467026,77.5300705
135," Near Rajarajeshwari Nagar, Bangalore",13.014352299999999,77.55428150069042
136," Rajajinagar,Bangalore",12.9882338,77.554883
137," Nagarabhavi, Bangalore",12.9664182,77.5130777
138," Vyalikaval Malleshwaram, Bangalore",13.0046822,77.5785581
139," Mahadevapura Marathahalli, Bangalore",12.9462698,77.6801303
140," Main road Whitefield, Bangalore",12.9568545,77.7455109
141," Frazer Town, Bangalore.",12.996845,77.6130165
